schema_version	path	sha256	page	rendered_image	rendered_image_sha256	observation
2	tmp/wch-evt/application_notes/CH32V407RM.PDF	63625af9027af6abfff57a58f8d2afdb2b68ee7d31c323e407da6ea786573c56	57	pdf-review/v407-057.png	b165aeb62110006c08b2fc371a8c2311a7142ca0765b4e3f9e5b8003e20ea1f5	mcpy/delay instruction layout and operand-field diagram visually reviewed
2	tmp/wch-evt/application_notes/CH32V407RM.PDF	63625af9027af6abfff57a58f8d2afdb2b68ee7d31c323e407da6ea786573c56	58	pdf-review/v407-058.png	64a66ee5d1afd41e315ab6e8ab7d19ba37ef63887f28e23e86495e99c99e413f	mcpy prose says no address-alignment restriction; prose operand roles conflict with SDK macros and ROM local block
2	tmp/wch-evt/manual/QingKeV3_Processor_Manual.PDF	fcc16b54d8818b04b9f8a7a7fbce6c504b87ca3787f0933edecc4da7112438d5	54	pdf-review/qkv3-54.png	605fd32251e5cbac95718b2a0805cb6b9d5ce935ca7df4ce720a063734eb19c2	V3 model and custom-instruction section visually reviewed
2	tmp/wch-evt/manual/QingKeV3_Processor_Manual.PDF	fcc16b54d8818b04b9f8a7a7fbce6c504b87ca3787f0933edecc4da7112438d5	55	pdf-review/qkv3-55.png	a6930b32be12ed7d5e8ccd6553045346b23f35f9f31a0ecbd0d9d7f54fa9b5dc	MRS support boundary and mimpid-related conditions visually reviewed
2	tmp/wch-evt/manual/QingKeV3_Processor_Manual.PDF	fcc16b54d8818b04b9f8a7a7fbce6c504b87ca3787f0933edecc4da7112438d5	56	pdf-review/qkv3-56.png	93999fd637f70ba45b177823016d6c11946dbeb95e8d0cc96e1c30bf43ab0a0e	delay/Zicond and U_NONS_DLY_0 CSR 0x8c0 context visually reviewed
2	tmp/wch-evt/application_notes/CH32H417RM.PDF	b57ebb0c0ae2cd772d32cb9ddeb6a6315fcc3916bcd3576e5a83eaeb7dfa6967	1	pdf-review/h417-p1-001.png	0fb835f98c3ab702bd2499c88633da828200ba7ff8cef070012e66e4d56133a6	title/version/front-matter and lot-conditioned feature note visually reviewed
2	tmp/wch-evt/application_notes/CH32H417RM.PDF	b57ebb0c0ae2cd772d32cb9ddeb6a6315fcc3916bcd3576e5a83eaeb7dfa6967	44	pdf-review/h417-p44-044.png	f0b7ba3433ee0446c018a94a7f63bdf96f8d0692d59d3d779df8887682fbf9ca	lot/batch identifier location and wording visually reviewed
2	tmp/wch-evt/application_notes/CH32H417RM.PDF	b57ebb0c0ae2cd772d32cb9ddeb6a6315fcc3916bcd3576e5a83eaeb7dfa6967	53	pdf-review/h417-trigger-053.png	c8f7b4e6993aaf7f7f5bce3017d2059342d50bd7f42c8ccc6eff907eedfdb022	core-0 trigger register availability condition visually reviewed
2	tmp/wch-evt/application_notes/CH32H417RM.PDF	b57ebb0c0ae2cd772d32cb9ddeb6a6315fcc3916bcd3576e5a83eaeb7dfa6967	54	pdf-review/h417-trigger-054.png	eb0306aecf39f0f5287a36645e091558d00f48df256596bd6545011a3b71b905	core-1 four-trigger statement visually reviewed separately from core-0 condition
2	tmp/wch-evt/application_notes/CH32H417RM.PDF	b57ebb0c0ae2cd772d32cb9ddeb6a6315fcc3916bcd3576e5a83eaeb7dfa6967	66	pdf-review/h417-pmp-066.png	589492ea8e7bf32ba3cf5e120ba040e06ecaa2bf0eeadf1b8f0396c76644a818	memory-protection/core-0 PMP fifth-lot-digit condition visually reviewed
2	tmp/wch-evt/evt/QingkeV4B_CH32V203_EVT/EXAM/ETH/WCHNET Protocol Stack Library Application Note.pdf	1e1bf85517182dc3e1c8aec8389cc1eed282a1207896935d558b1867ee1da793	1	pdf-review/wchnet-01.png	9e0763c81878a477b7cbcb0f98fcfd0a8dbc7754b7da7c6b82f8f77d1312f285	WCHNET application-note title/version page visually reviewed
2	tmp/wch-evt/evt/QingkeV4B_CH32V203_EVT/EXAM/ETH/WCHNET Protocol Stack Library Application Note.pdf	1e1bf85517182dc3e1c8aec8389cc1eed282a1207896935d558b1867ee1da793	2	pdf-review/wchnet-02.png	b964a6d7bdba86619b6e43460d9cac5c578709ef233846122daedd8abbc1d95f	configuration/checksum material visually reviewed; no ChipID predicate or descriptor workaround shown on reviewed pages
